Number, Label, Comment, X, Y, Z, X_Toe, Y_Toe, Z_Toe, Diameter, Length, Subdrilling, Stemming, Burden, Spacing, Angle, Azimuth, WaterLevel, DetonatingTime, GlobalId, DesignCharge, InputedCharge, Row_Number, Detonators, Boosters, PathLetter
259, , , 748814.660, 8930545.880, 210.521, 748814.660, 8930545.880, 199.821, 0.127, 10.700, 0.600, 2.400, 0.000, 0.000, 0.0, 0.0, 0.000, 11570, f8145b14-ce82-4d43-ab7f-6852b29d78dc, 0.0, 147.000, 0, DVT 15 m :1 ud, , 
260, , , 748816.260, 8930543.380, 210.859, 748816.260, 8930543.380, 199.659, 0.127, 11.200, 0.600, 2.200, 0.000, 0.000, 0.0, 0.0, 0.000, 11494, 6850f56d-0a0e-4727-907a-5c4fbd440646, 0.0, 151.800, 0, DVT 15 m :1 ud, , 
261, , , 748817.860, 8930540.880, 210.788, 748817.860, 8930540.880, 199.388, 0.127, 11.400, 0.600, 2.300, 0.000, 0.000, 0.0, 0.0, 0.000, 11420, 7ec5a03f-22df-4ab1-b452-cd9e29183f4a, 0.0, 149.100, 0, DVT 15 m :1 ud, , 
262, , , 748819.460, 8930538.380, 210.951, 748819.460, 8930538.380, 199.751, 0.127, 11.200, 0.600, 2.400, 0.000, 0.000, 0.0, 0.0, 0.000, 11344, a6157c9b-2cf2-4946-b90b-b04dd4d45ef4, 0.0, 151.400, 0, DVT 15 m :1 ud, , 
263, , , 748821.070, 8930535.880, 210.880, 748821.070, 8930535.880, 199.580, 0.127, 11.300, 0.600, 2.300, 0.000, 0.000, 0.0, 0.0, 0.000, 11268, a703c564-c29e-4fa3-be35-9c4bfc63664c, 0.0, 153.200, 0, DVT 15 m :1 ud, , 
264, , , 748822.670, 8930533.380, 210.716, 748822.670, 8930533.380, 199.416, 0.127, 11.300, 0.600, 2.200, 0.000, 0.000, 0.0, 0.0, 0.000, 11192, fd91488b-3fb1-4e16-8212-caf048aae0b2, 0.0, 129.000, 0, DVT 15 m :1 ud, , 
265, , , 748824.270, 8930530.880, 210.721, 748824.270, 8930530.880, 199.721, 0.127, 11.000, 0.600, 2.300, 0.000, 0.000, 0.0, 0.0, 0.000, 11116, f52f106d-92b8-425e-8384-d1497e48dde5, 0.0, 116.300, 0, DVT 15 m :1 ud, , 
266, , , 748825.880, 8930528.380, 210.547, 748825.880, 8930528.380, 200.847, 0.127, 9.700, 0.600, 2.400, 0.000, 0.000, 0.0, 0.0, 0.000, 11044, bf775318-5c20-48d6-9bad-e6c80479c390, 0.0, 137.600, 0, DVT 15 m :1 ud, , 
267, , , 748827.480, 8930525.880, 210.617, 748827.480, 8930525.880, 200.117, 0.127, 10.500, 0.600, 2.300, 0.000, 0.000, 0.0, 0.0, 0.000, 10968, e33c1874-b5fc-4e79-8a82-5ccd3fe4c8e5, 0.0, 131.700, 0, DVT 15 m :1 ud, , 
268, , , 748829.080, 8930523.380, 210.613, 748829.080, 8930523.380, 200.113, 0.127, 10.500, 0.600, 2.400, 0.000, 0.000, 0.0, 0.0, 0.000, 10892, b23756e1-e762-4a01-9dcd-2f55bcffb8dd, 0.0, 129.900, 0, DVT 15 m :1 ud, , 
